Food,Calories,Type
Pan con pollo y jugo de naranja,570,Breakfast
Pan con queso y leche,590,Breakfast
Pan con salchicha huachana y jugo de fresa,560,Breakfast
Pan con palta y jugo de papaya,580,Breakfast
Pan con lomo y cafe,590,Breakfast
Yogurt con cereales,630,Breakfast
Tostadas con queso y jugo de piña,530,Breakfast
Lomo Saltado,930,FullMeal
Arroz Chaufa,950,FullMeal
Ceviche,750,FullMeal
Arroz con Pollo,830,FullMeal
Sopa Seca,910,FullMeal
Pollo al horno con ensalda rusa,840,FullMeal
Pollo a la plancha con arroz,680,FullMeal
